,model_id,ntrees,max_depth,min_rows,min_sum_hessian_in_leaf,sample_rate,col_sample_rate,col_sample_rate_per_tree,booster,reg_lambda,reg_alpha
0,XGBoost_1_AutoML_20190421_193027,110,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
1,XGBoost_2_AutoML_20190421_193027,110,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
2,XGBoost_3_AutoML_20190421_193027,110,5,3.0,100.0,0.8,0.8,0.8,gbtree,1.0,0.0
3,XGBoost_grid_1_AutoML_20190421_193027_model_1,104,10,0.01,100.0,1.0,0.8,0.7,dart,0.001,0.01
4,XGBoost_grid_1_AutoML_20190421_193027_model_2,157,10,20.0,100.0,0.8,0.6,0.8,gbtree,1.0,0.01
5,XGBoost_grid_1_AutoML_20190421_193027_model_3,140,15,20.0,100.0,0.6,0.8,0.9,gbtree,0.01,0.1
6,XGBoost_grid_1_AutoML_20190421_193027_model_4,109,15,10.0,100.0,0.8,0.6,0.9,dart,1.0,0.5
7,XGBoost_grid_1_AutoML_20190421_193027_model_5,79,5,0.1,100.0,0.6,1.0,0.8,dart,10.0,0.5
8,XGBoost_grid_1_AutoML_20190421_193027_model_6,91,10,0.01,100.0,0.8,0.6,0.7,dart,0.1,0.1
9,XGBoost_grid_1_AutoML_20190421_193027_model_7,71,20,20.0,100.0,0.6,0.6,1.0,gbtree,0.01,0.001
10,XGBoost_grid_1_AutoML_20190421_193027_model_8,1,10,20.0,100.0,0.6,1.0,0.7,dart,0.1,0.5
