,L'Oreal Paris_Product_names,L'Oreal Paris_Product_price,L'Oreal Paris_Product_function,L'Oreal Paris_Product_description,L'Oreal Paris_Product_rating
0,Colour Riche® ,$9.99,Ultra Matte Highly Pigmented Nude Lipstick ,"In one stroke, experience rich lip color and comfortable wear. 16 nude matte lip tone shades that enhance the color of your lips. Comfortable wear, Intense hydration and lightweight feel on lips.","





"
1,Rouge Signature ,$11.99,"L'Oréal Paris Rouge Signature, Lasting Matte Liquid Lipstick ","Lightweight matte colored ink that delivers a stain-like feel with the color impact of a liquid lipstick. Imparts lips with a high pigment, matte finish, and lasting wear. ","





"
2,True Match® Lumi ,$14.99,Shake & Glow Dew Mist ,"Prime and awaken skin with a boost of healthy hydration. Set makeup for extended wear and a natural, dewy glow. ","





"
3,Unlimited ,$12.99,Lash Lifting and Lengthening Waterproof Mascara Blackest Black ,"Instant lash-lift effect, lengthening mascara.  ","





"
4,Infallible® ,$14.99,"Up to 24HR Fresh Wear Foundation, Lightweight ","Our Most Lightweight, Breathable Longwear.  ","





"
5,Infallible® ,$12.99,"Full Wear Concealer Waterproof, Full Coverage ","Shape, Cover, & Contour. Full Coverage Concealer.  ","





"
6,Unlimited ,$12.99,Lash Lifting and Lengthening Washable Mascara ,"Instant lash-lift effect, intense lengthening mascara.  ","





"
7,UnbelievaBrow ,$16.99,Longwear Waterproof Brow Gel ,Unbelieva-Brow longwear brow gel to fill and thicken brows that last.  ,"





"
8,Colour Riche® ,$9.99,Gold Addiction Satin Lipstick ,"Luxurious, rich color. creamy, intense hydration. Infused with Gold pearls for a luminous effect. ","





"
9,Colour Riche Lipstick ,$9.99,Shine Lipstick ,"Ultra-rich, ultra-radiant shiny lipstick. Glossy, high color finish for lips that Shine. Available in 16 luminous, high-definition shades.","





"
10,Voluminous ,$9.99,Lash Paradise™ Mystic Black ,"Lash Paradise™ voluptuous, volume and eye lengthening mascara. Full eye lash fringe, feathery soft eye lashes with no flaking or clumping. ","





"
11,Infallible® ,$9.99,Crushed Foils Metallic Lip Gloss ,Limited Edition. Metallic Lip Gloss. Add light to enhance lips.,"





"
12,Infallible® ,$12.99,Crushed Foils Metallic Highlighter ,Limited Edition. Metallic Highlighter. Highlight high points to add dimension to your face.,"





"
13,Infallible® ,$9.99,Crushed Foils Metallic Eye Shadow ,Limited Edition. Metallic Eye Shadow. Illuminate eyes from subtle to bold.,"





"
14,Voluminous ,$9.99,Lash Paradise™ Mascara Primer/Base ,Pink-tinted mascara primer. Thickens lashes and helps enhance mascara wear. ,"





"
15,Infallible® ,$12.99,Longwear Foundation Shaping Sticks ,"Cover, define and enhance your features with Infallible Shaping Sticks from L'Oréal Paris. Up to 24 hours medium to full coverage, contains SPF 27. ","





"
16,Paradise ,$14.99, Enchanted Scented Eyeshadow Palette  ,"12 captivating warm eyeshadow shades. Variety of finishes, from mattes to shimmering pearls, for endless enchanting eyeshadow looks. ","





"
17,Voluminous ,$9.99,Lash Paradise™ Liquid Eyeliner ,Water-resistant formula and all day wear. Smoothly draws precise eye lines. ,"





"
18,Infallible® ,$12.99,Longwear Highlighter Shaping Sticks ,Highlighted complexion that lasts up to 24 hours. Buildable longwear formula that contains SPF 17. ,"





"
19,Paradise ,$12.99,Enchanted Fruit-Scented Blush Makeup ,"Four captivating warm tonal blush makeup shades, from subtle peach hues to pops of coral. Creamy texture, soft to the touch, silky feel, subtle yet radiant color. ","





"
20,Infallible® ,$12.99,Longwear Blush Shaping Sticks ,Naturally flushed cheeks that last up to 24 hours. Buildable longwear blush formula. ,"





"
