Unnamed: 0,keyword,most_popular_post_ID,post_content,post_time,post_retweet_count
0,Avril Lavigne,1102763914368970752,"""I saw a lot of friends disappear,"" @AvrilLavigne says of her battle with #Lyme disease. ""Now I keep my group small… https://t.co/EfNotExPk3",2019-03-05 02:53:00,10
1,Ariana Grande,1102985085719068672,love someone in your life as much as Jake Tapper loves the US war machine. Man is always there like one of those we… https://t.co/IGhzrnYeWo,2019-03-05 17:31:51,244
2,katy Perry,1102866539433254918,hi I’m wide awake and I can never say that without singing the katy perry song....lol,2019-03-05 09:40:47,69
3,Rihanna,1102548147497287680,Report: Rihanna To Sell Office Supplies &amp; Garden Ware https://t.co/oGrLduJRuX https://t.co/5OYO85JaKS,2019-03-04 12:35:37,573
4,Chris Brown,1102692675231330304,"I'm glad Lady Gaga didn't stay in her lane. Same for Chris Jericho,Justin Timberlake, Mark Wahlberg,The Rock,etc. A… https://t.co/zqCpkS6wd5",2019-03-04 22:09:55,2048
5,Lady Gaga,1102920843535966208,You can never go wrong with a classic! 🤩🤩🤩 Maroon 5 rocking the house with “This Love”! #Maroon5AtMOAArena… https://t.co/iLjpsHfH3v,2019-03-05 13:16:35,125
6,Maroon 5,1102468355762532352,When is Justin Bieber gonna release new music,2019-03-04 07:18:33,527
7,Justin Bieber,1102670872010207235,"Cardi B's new video delivers East L.A. tacos and Bruno Mars:

https://t.co/FpLKl5Kx7w https://t.co/2wv7NFwulz",2019-03-04 20:43:17,15
8,Bruno Mars,1102754928571883521,"📣 Shake it off, Taylor Swift Trivia Night is Wednesday at 9p ET 🎶 https://t.co/QnyvmPQpRj",2019-03-05 02:17:17,615
9,Taylor Swift,1102697124830085120,Strength of both 2019 draft &amp; 2019 free agency is defensive line. Good FA group for DTs &amp; 3-4 DE types even with Gr… https://t.co/YIUij4oP9n,2019-03-04 22:27:36,16
10,BTS,1102584488452853761,"TXT’s Soobin Is Taking After BTS’s Jin, And Now Fans Can’t Stop Laughing

https://t.co/bKEkYvfX34",2019-03-04 15:00:01,6190
11,Seventeen,1102767435361378304,"WATCH: Members Of #GOT7, #SEVENTEEN, #IZONE, And More Play A Heated Game Of Mafia 
https://t.co/vN1yel2aMm https://t.co/lzR2kphlhC",2019-03-05 03:06:59,1514
